source_url	source_url_normalized	ref	fact	bias
https://www.rt.com/news/	rt.com-news	http://mediabiasfactcheck.com/rt-news/	mixed	right
http://www.consnation.com/	consnation.com	https://mediabiasfactcheck.com/conservative-nation/	low	right
https://teddystick.com/	teddystick.com	http://mediabiasfactcheck.com/teddy-stick/	low	right
http://www.birminghammail.co.uk	birminghammail.co.uk	https://mediabiasfactcheck.com/birmingham-mail/	mixed	left
http://www.dailyrecord.com/	dailyrecord.com	http://mediabiasfactcheck.com/daily-record/	high	center
https://viralcords.com/	viralcords.com	http://mediabiasfactcheck.com/viral-cords/	low	center
http://biggovernment.news/index.html	biggovernment.news	http://mediabiasfactcheck.com/big-government-news/	mixed	right
http://trib.com	trib.com	https://mediabiasfactcheck.com/casper-star-tribune/	high	center
http://www.wnd.com/	wnd.com	http://mediabiasfactcheck.com/world-net-daily-wnd/	mixed	right
https://altoday.com/	altoday.com	https://mediabiasfactcheck.com/alabama-today/	high	center
http://www.eagletribune.com/	eagletribune.com	http://mediabiasfactcheck.com/eagle-tribune/	high	center
https://www.thewrap.com	thewrap.com	https://mediabiasfactcheck.com/thewrap/	mixed	center
http://spiked-online.com/	spiked-online.com	http://mediabiasfactcheck.com/spiked-magazine/	mixed	right
http://www.calgarysun.com/	calgarysun.com	http://mediabiasfactcheck.com/calgary-sun/	high	right
http://speisa.com/	speisa.com	https://mediabiasfactcheck.com/speisa/	low	right
http://humanevents.com/	humanevents.com	http://mediabiasfactcheck.com/human-events/	mixed	right
https://iowastartingline.com	iowastartingline.com	https://mediabiasfactcheck.com/iowa-starting-line/	high	left
http://shareblue.com/	shareblue.com	http://mediabiasfactcheck.com/shareblue/	mixed	left
http://www.skepticink.com/	skepticink.com	http://mediabiasfactcheck.com/skeptic-ink/	high	center
http://discovermagazine.com/	discovermagazine.com	http://mediabiasfactcheck.com/discover-magazine/	high	center
https://www.americanewshub.com	americanewshub.com	https://mediabiasfactcheck.com/american-news-hub/	mixed	right
https://hillarydaily.com/	hillarydaily.com	https://mediabiasfactcheck.com/hillary-daily/	mixed	right
https://www.almasdarnews.com	almasdarnews.com	https://mediabiasfactcheck.com/al-masdar-news-amn/	mixed	left
https://youthradio.org/	youthradio.org	https://mediabiasfactcheck.com/youth-radio/	high	left
https://milo.yiannopoulos.net/	milo.yiannopoulos.net	http://mediabiasfactcheck.com/milo-news/	low	right
https://www.currentaffairs.org/	currentaffairs.org	http://mediabiasfactcheck.com/current-affairs-magazine/	high	left
http://yellowhammernews.com/	yellowhammernews.com	http://mediabiasfactcheck.com/yellowhammer-news/	high	right
http://ihypocrite.net	ihypocrite.net	https://mediabiasfactcheck.com/i-hypocrite/	low	right
http://www.thepostemail.com/	thepostemail.com	http://mediabiasfactcheck.com/the-post-email/	mixed	right
https://mises.org/	mises.org	http://mediabiasfactcheck.com/mises-daily/	mixed	right
https://knightstemplarinternational.com/	knightstemplarinternational.com	https://mediabiasfactcheck.com/knights-templar-international/	low	right
https://www.americanprogress.org/	americanprogress.org	http://mediabiasfactcheck.com/center-for-american-progress/	high	left
https://www.frontiersin.org/	frontiersin.org	https://mediabiasfactcheck.com/frontiers/	mixed	center
http://www.bizpacreview.com/	bizpacreview.com	http://mediabiasfactcheck.com/bizpac-review/	mixed	right
https://www.theguardian.com/observer	theguardian.com-observer	http://mediabiasfactcheck.com/the-observer/	high	left
http://www.cbsnews.com/	cbsnews.com	http://mediabiasfactcheck.com/cbs-news/	high	left
http://www.thedailyliberator.com/	thedailyliberator.com	http://mediabiasfactcheck.com/the-daily-liberator/	mixed	right
https://www.oathkeepers.org	oathkeepers.org	https://mediabiasfactcheck.com/oath-keepers/	low	right
http://www.dailykos.com/	dailykos.com	http://mediabiasfactcheck.com/daily-kos/	mixed	left
http://news.harvard.edu/gazette/	news.harvard.edu-gazette	http://mediabiasfactcheck.com/harvard-gazette/	high	center
https://morningconsult.com/	morningconsult.com	http://mediabiasfactcheck.com/morning-consult/	high	left
http://www.alreporter.com	alreporter.com	https://mediabiasfactcheck.com/alabama-political-reporter/	high	center
https://bluntforcetruth.com	bluntforcetruth.com	https://mediabiasfactcheck.com/blunt-force-truth/	low	right
https://techxplore.com/	techxplore.com	http://mediabiasfactcheck.com/techxplore/	high	center
http://freakoutnation.com/	freakoutnation.com	http://mediabiasfactcheck.com/freakout-nation/	low	left
http://twitchy.com/	twitchy.com	http://mediabiasfactcheck.com/twitchy/	mixed	right
http://conservativepost.com/	conservativepost.com	http://mediabiasfactcheck.com/conservative-post/	low	right
http://www.aim.org/	aim.org	http://mediabiasfactcheck.com/accuracy-in-media-aim/	mixed	right
http://www.bjreview.com/	bjreview.com	http://mediabiasfactcheck.com/beijing-review/	high	left
http://www.news-gazette.com/	news-gazette.com	https://mediabiasfactcheck.com/news-gazette/	high	right
https://www.newsandgutsmedia.com/	newsandgutsmedia.com	http://mediabiasfactcheck.com/news-and-guts/	high	left
http://redalertpolitics.com/	redalertpolitics.com	http://mediabiasfactcheck.com/red-alert-politics/	mixed	right
http://sonorannews.com/	sonorannews.com	https://mediabiasfactcheck.com/sonoran-news/	mixed	right
https://rightwingnews.com/	rightwingnews.com	http://mediabiasfactcheck.com/right-wing-news/	low	right
http://retractionwatch.com/	retractionwatch.com	http://mediabiasfactcheck.com/retraction-watch/	high	center
http://timesofindia.indiatimes.com/	timesofindia.indiatimes.com	http://mediabiasfactcheck.com/times-of-india/	high	center
http://www.miaminewtimes.com/	miaminewtimes.com	http://mediabiasfactcheck.com/miami-new-times-2/	high	left
http://www.informationliberation.com/	informationliberation.com	http://mediabiasfactcheck.com/information-liberation/	low	right
http://www.denverpost.com/	denverpost.com	http://mediabiasfactcheck.com/denver-post/	high	left
http://foreignpolicynews.org	foreignpolicynews.org	https://mediabiasfactcheck.com/foreign-policy-news/	mixed	left
http://www.economist.com/	economist.com	http://mediabiasfactcheck.com/the-economist/	high	center
https://whowhatwhy.org/	whowhatwhy.org	https://mediabiasfactcheck.com/who-what-why/	mixed	left
https://www.thetimesherald.com	thetimesherald.com	https://mediabiasfactcheck.com/the-times-herald-port-huron/	high	right
http://www.codepink.org/	codepink.org	https://mediabiasfactcheck.com/code-pink/	mixed	left
http://www.sfchronicle.com/	sfchronicle.com	http://mediabiasfactcheck.com/san-francisco-chronicle/	high	left
https://sojo.net/	sojo.net	http://mediabiasfactcheck.com/sojourners-soho/	high	left
http://ifamericaknew.org/	ifamericaknew.org	http://mediabiasfactcheck.com/if-america-knew/	high	left
http://www.amren.com/	amren.com	http://mediabiasfactcheck.com/american-renaissance-magazine/	low	right
https://www.thebeaverton.com/	thebeaverton.com	http://mediabiasfactcheck.com/the-beaverton/	low	center
http://www.callthecops.net/	callthecops.net	http://mediabiasfactcheck.com/call-the-cops/	low	center
http://montrealgazette.com/	montrealgazette.com	http://mediabiasfactcheck.com/montreal-gazette/	high	left
http://www.dailytarheel.com/	dailytarheel.com	http://mediabiasfactcheck.com/the-daily-tarheel/	high	left
http://progressivearmy.com	progressivearmy.com	https://mediabiasfactcheck.com/progressive-army/	high	left
https://www.thenews.com.pk/	thenews.com.pk	https://mediabiasfactcheck.com/the-news-international/	high	center
https://euobserver.com/	euobserver.com	http://mediabiasfactcheck.com/eu-observer/	high	left
http://www.timesofisrael.com/	timesofisrael.com	http://mediabiasfactcheck.com/times-of-israel/	high	left
http://allenwestrepublic.com/	allenwestrepublic.com	http://mediabiasfactcheck.com/allen-west-republic/	low	right
http://www.peninsuladailynews.com/	peninsuladailynews.com	http://mediabiasfactcheck.com/peninsula-daily-news/	high	right
http://progresstribune.com/	progresstribune.com	http://mediabiasfactcheck.com/progress-tribune/	low	left
http://duhprogressive.com/	duhprogressive.com	https://mediabiasfactcheck.com/duh-progressive/	low	center
http://www.newstatesman.com/	newstatesman.com	http://mediabiasfactcheck.com/new-statesman/	high	left
https://www.liberalexaminer.com/	liberalexaminer.com	https://mediabiasfactcheck.com/liberal-examiner/	mixed	left
http://outlook.monmouth.edu/	outlook.monmouth.edu	http://mediabiasfactcheck.com/the-outlook-monmouth-university/	high	center
http://www.westernjournalism.com/	westernjournalism.com	http://mediabiasfactcheck.com/western-journalism/	mixed	right
https://concernedwomen.org/blog/	concernedwomen.org-blog	https://mediabiasfactcheck.com/concerned-women-america/	low	right
https://www.inquirer.net/	inquirer.net	http://mediabiasfactcheck.com/philippine-daily-inquirer/	high	left
https://newsandstoriesfromusa.com/	newsandstoriesfromusa.com	https://mediabiasfactcheck.com/news-stories-usa/	low	right
https://70news.wordpress.com/	70news.wordpress.com	https://mediabiasfactcheck.com/70-news/	low	right
http://www.newsnow.co.uk/h/	newsnow.co.uk	http://mediabiasfactcheck.com/newsnow-uk/	mixed	center
http://eveningharold.com/	eveningharold.com	http://mediabiasfactcheck.com/evening-harold/	low	center
http://www.freewoodpost.com/	freewoodpost.com	http://mediabiasfactcheck.com/free-wood-post/	low	center
http://themillenniumreport.com	themillenniumreport.com	https://mediabiasfactcheck.com/the-millennium-report/	low	right
http://www.forwardprogressives.com/	forwardprogressives.com	http://mediabiasfactcheck.com/forward-progressives/	high	left
https://antifascistnews.net/	antifascistnews.net	https://mediabiasfactcheck.com/anti-fascist-news/	high	left
http://dailyworldinformation.com	dailyworldinformation.com	https://mediabiasfactcheck.com/daily-world-information/	low	right
https://rantt.com	rantt.com	https://mediabiasfactcheck.com/rantt-media/	high	left
http://www.scotusblog.com/	scotusblog.com	http://mediabiasfactcheck.com/scotusblog/	high	center
http://www.democracynow.org/	democracynow.org	http://mediabiasfactcheck.com/democracy-now/	high	left
http://www.yesmagazine.org/	yesmagazine.org	https://mediabiasfactcheck.com/yes-magazine/	high	left
http://thetruthdivision.com/	thetruthdivision.com	http://mediabiasfactcheck.com/the-truth-division/	low	right
http://www.rappler.com/	rappler.com	http://mediabiasfactcheck.com/rappler/	mixed	left
http://viralliberty.com/	viralliberty.com	http://mediabiasfactcheck.com/viral-liberty/	low	right
http://www.dailynews.com/	dailynews.com	http://mediabiasfactcheck.com/los-angeles-daily-news/	high	right
http://knoxreport.com/	knoxreport.com	http://mediabiasfactcheck.com/knox-report/	mixed	right
http://ladylibertysnews.com/	ladylibertysnews.com	http://mediabiasfactcheck.com/lady-liberty-news/	low	right
http://www.valleynewslive.com/	valleynewslive.com	http://mediabiasfactcheck.com/red-river-valley-news/	high	right
http://www.680news.com/	680news.com	https://mediabiasfactcheck.com/680-news/	high	center
http://www.realclearpolitics.com/	realclearpolitics.com	http://mediabiasfactcheck.com/real-clear-politics/	high	right
http://www.newsmax.com/	newsmax.com	http://mediabiasfactcheck.com/newsmax/	mixed	right
https://nowthisnews.com/	nowthisnews.com	http://mediabiasfactcheck.com/nowthis-news/	mixed	left
http://www.thecanary.co/	thecanary.co	http://mediabiasfactcheck.com/the-canary-uk/	high	left
https://www.newyorker.com/humor/borowitz-report	newyorker.com-humor-borowitz-report	https://mediabiasfactcheck.com/borowitz-report/	low	center
https://www.healthline.com/	healthline.com	https://mediabiasfactcheck.com/healthline/	high	center
https://conservativemedia.com/	conservativemedia.com	https://mediabiasfactcheck.com/conservative-media/	low	right
http://www.tmn.today/	tmn.today	http://mediabiasfactcheck.com/tell-me-now/	low	right
http://www.vdare.com/	vdare.com	http://mediabiasfactcheck.com/vdare/	low	right
https://www.buzzfeed.com/	buzzfeed.com	http://mediabiasfactcheck.com/buzzfeed/	mixed	left
http://circa.com/	circa.com	http://mediabiasfactcheck.com/circa-news/	high	right
http://viraltitle.com	viraltitle.com	https://mediabiasfactcheck.com/viral-title/	mixed	left
https://www.hrw.org/	hrw.org	http://mediabiasfactcheck.com/human-rights-watch/	high	left
http://www.koco.com/	koco.com	https://mediabiasfactcheck.com/koco-news-5/	high	left
https://news.cgtn.com	news.cgtn.com	https://mediabiasfactcheck.com/china-global-television-network-cgtn/	high	center
http://news.sky.com/	news.sky.com	http://mediabiasfactcheck.com/sky-news/	high	left
https://www.truthexaminer.com/	truthexaminer.com	http://mediabiasfactcheck.com/truth-examiner/	low	left
https://www.texastribune.org/	texastribune.org	http://mediabiasfactcheck.com/texas-tribune/	high	center
https://www.cpj.org/	cpj.org	http://mediabiasfactcheck.com/committee-to-protect-journalists/	high	center
https://www.fightforthefuture.org	fightforthefuture.org	https://mediabiasfactcheck.com/fight-for-the-future/	high	left
http://projectcensored.org/	projectcensored.org	https://mediabiasfactcheck.com/project-censored/	high	left
http://missoulian.com/	missoulian.com	https://mediabiasfactcheck.com/missoulian/	high	center
https://www.thecipherbrief.com/	thecipherbrief.com	https://mediabiasfactcheck.com/the-cipher-brief/	high	center
http://us.blastingnews.com/	us.blastingnews.com	http://mediabiasfactcheck.com/blastingnews/	mixed	left
http://www.dispatch.com/	dispatch.com	http://mediabiasfactcheck.com/columbus-dispatch/	high	right
http://eng.majalla.com/	eng.majalla.com	http://mediabiasfactcheck.com/al-majalla/	high	center
http://littlegreenfootballs.com/	littlegreenfootballs.com	http://mediabiasfactcheck.com/little-green-footballs/	mixed	left
http://www.ruthinstitute.org	ruthinstitute.org	https://mediabiasfactcheck.com/ruth-institute/	low	right
http://campaignforliberty.org/	campaignforliberty.org	https://mediabiasfactcheck.com/campaign-for-liberty/	mixed	right
https://www.theatlantic.com/	theatlantic.com	http://mediabiasfactcheck.com/the-atlantic/	high	left
http://jezebel.com/	jezebel.com	http://mediabiasfactcheck.com/jezebel/	mixed	left
https://o4anews.com/	o4anews.com	http://mediabiasfactcheck.com/overpasses-for-america/	low	right
https://theredshtick.com/	theredshtick.com	https://mediabiasfactcheck.com/the-red-shtick/	low	center
http://www.restoreamericanglory.com/	restoreamericanglory.com	https://mediabiasfactcheck.com/restore-american-glory/	high	right
https://studionewsnetwork.com	studionewsnetwork.com	https://mediabiasfactcheck.com/studio-news-network/	low	right
https://www.newscientist.com/	newscientist.com	http://mediabiasfactcheck.com/new-scientist/	high	center
http://www.onenewsnow.com/	onenewsnow.com	http://mediabiasfactcheck.com/onenewsnow/	mixed	right
https://consortiumnews.com/	consortiumnews.com	http://mediabiasfactcheck.com/consortium-news/	high	center
http://www.insidesources.com	insidesources.com	https://mediabiasfactcheck.com/insidesources/	high	right
http://republicanssucks.org	republicanssucks.org	https://mediabiasfactcheck.com/republicans-suck/	mixed	left
http://www.governing.com/	governing.com	http://mediabiasfactcheck.com/governing-magazine/	high	left
http://www.countercurrents.org/	countercurrents.org	http://mediabiasfactcheck.com/countercurrents-org/	high	left
https://politicalmayhem.news	politicalmayhem.news	https://mediabiasfactcheck.com/political-mayhem-news/	low	right
http://www.libertyheadlines.com/	libertyheadlines.com	https://mediabiasfactcheck.com/liberty-headlines/	mixed	right
http://www.theverge.com/	theverge.com	http://mediabiasfactcheck.com/the-verge/	high	left
http://www.hoggwatch.com	hoggwatch.com	https://mediabiasfactcheck.com/hogg-watch/	low	right
http://www.thewhim.com/	thewhim.com	http://mediabiasfactcheck.com/the-whim/	high	center
http://www.shareably.net/	shareably.net	https://mediabiasfactcheck.com/shareably/	high	center
https://www.wikitribune.com	wikitribune.com	https://mediabiasfactcheck.com/wikitribune/	high	center
https://www.japantimes.co.jp/	japantimes.co.jp	https://mediabiasfactcheck.com/japan-times/	high	center
http://www.villagevoice.com/	villagevoice.com	http://mediabiasfactcheck.com/the-village-voice/	high	left
http://www.sfgate.com/	sfgate.com	http://mediabiasfactcheck.com/sfgate/	high	left
http://nottnews.com/	nottnews.com	https://mediabiasfactcheck.com/nottnews/	low	center
http://www.readingthepictures.org	readingthepictures.org	https://mediabiasfactcheck.com/reading-the-pictures/	high	left
http://www.tfp.org/	tfp.org	https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/	low	right
http://conservativebyte.com	conservativebyte.com	https://mediabiasfactcheck.com/conservative-byte/	low	right
http://qpolitical.com/	qpolitical.com	http://mediabiasfactcheck.com/qpolitical/	low	right
http://www.ronpaulinstitute.org/	ronpaulinstitute.org	http://mediabiasfactcheck.com/the-ron-paul-institute/	mixed	right
https://aclj.org/	aclj.org	https://mediabiasfactcheck.com/american-center-law-justice-aclj/	mixed	right
https://tytnetwork.com/	tytnetwork.com	http://mediabiasfactcheck.com/the-young-turks/	high	left
https://www.thereligionofpeace.com/	thereligionofpeace.com	https://mediabiasfactcheck.com/the-religion-of-peace/	low	right
http://www.newsbiscuit.com/	newsbiscuit.com	http://mediabiasfactcheck.com/news-biscuit/	low	center
http://loser.com	loser.com	https://mediabiasfactcheck.com/loser-com/	low	left
http://vote.us.org/	vote.us.org	http://mediabiasfactcheck.com/vote/	mixed	left
http://uproxx.com/	uproxx.com	http://mediabiasfactcheck.com/uproxx/	high	left
https://newmatilda.com/	newmatilda.com	http://mediabiasfactcheck.com/new-matilda/	high	left
http://www.viralthread.com/	viralthread.com	https://mediabiasfactcheck.com/viral-thread/	mixed	center
https://egyptianstreets.com/	egyptianstreets.com	https://mediabiasfactcheck.com/egyptian-streets/	mixed	left
https://schmedium.org	schmedium.org	https://mediabiasfactcheck.com/schmedium/	low	center
https://thecitizenpress.com	thecitizenpress.com	https://mediabiasfactcheck.com/the-citizen-press/	mixed	right
http://www.salon.com/	salon.com	http://mediabiasfactcheck.com/salon/	high	left
http://www.providencejournal.com/	providencejournal.com	http://mediabiasfactcheck.com/the-providence-journal/	high	left
http://www.barenakedislam.com/	barenakedislam.com	http://mediabiasfactcheck.com/bare-naked-islam/	low	right
http://www.dcstatesman.com/	dcstatesman.com	http://mediabiasfactcheck.com/dc-statesman/	mixed	right
http://www.conservapedia.com/Main_Page	conservapedia.com-Main_Page	http://mediabiasfactcheck.com/conservapedia/	low	right
http://liberalsociety.com/	liberalsociety.com	http://mediabiasfactcheck.com/liberal-society/	low	left
http://theoswatch.com	theoswatch.com	https://mediabiasfactcheck.com/theoswatch-com/	mixed	left
